stop,2022-02-22 17:00:00,2022-02-23 17:00:00,2022-02-24 17:00:00,0,1,2
5103883,2.7978751233501544,2.7978751233501544,0.0,-11.864826,-0.46493936,-3.1378803
5103884,3.6786666446012073,3.6786666446012073,0.0,-17.756079,0.9466269,-3.4976335
5103885,4.2838705704118745,4.2838705704118745,0.0,-21.804043,1.9165351,-3.7448258
5103886,4.692956726922293,4.692956726922293,4.692956726922293,-19.950716,6.975395,10.534044
5103887,0.0,7.318257626921508,7.318257626921508,-12.325413,6.3236732,23.900398
5103888,0.0,0.0,7.334575692982919,14.021961,1.9329538,20.58234
5103889,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5103890,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5103891,25.823308828871617,25.823308828871617,25.823308828871617,-140.61832,60.665092,66.94739
5103892,15.496870091978115,15.496870091978115,15.496870091978115,-81.64786,34.426846,39.37809
5103893,29.557252195892374,29.557252195892374,29.557252195892374,-161.94147,70.152596,76.91618
5103894,24.164685690841416,24.164685690841416,24.164685690841416,-131.14653,56.45073,62.519226
5103895,21.2974654816267,21.2974654816267,21.2974654816267,-114.7729,49.16547,54.86439
5103896,20.054786633157608,20.054786633157608,20.054786633157608,-107.67643,46.007973,51.546715
5103897,8.182962570965158,8.182962570965158,8.182962570965158,-39.88084,15.8430805,19.851583
5103898,8.194083256402038,8.194083256402038,8.194083256402038,-39.944347,15.871341,19.881273
5103899,5.804459836568942,5.804459836568942,5.804459836568942,-26.298098,9.799592,13.501511
5103900,0.0,5.130761633359205,5.130761633359205,-6.593997,2.95421,16.15999
5103901,0.0,4.810583172272025,4.810583172272025,-5.7551007,2.4610298,15.027044
5103902,0.0,4.101290247313647,4.101290247313647,-3.896696,1.3684857,12.517226
5103903,0.0,0.0,3.869858376672249,10.633596,-1.3178813,9.917173
5103904,0.0,0.0,3.6738724983190334,10.441929,-1.501769,9.313885
5103905,0.0,0.0,3.592363604462019,10.362216,-1.578246,9.062983
5104136,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104137,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104138,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104139,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104140,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104141,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
