stop,2022-02-04 17:00:00,2022-02-11 17:00:00,2022-02-18 17:00:00,0,1,2
5102268,4.33890044384571,0.0,4.33890044384571,1.7292535,3.6098151,10.501924
5102269,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102270,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102271,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102272,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102273,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102274,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102275,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102276,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102277,0.0,2.432551128922036,0.0,-2.6042929,9.595543,10.88426
5102278,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102279,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102280,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102281,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102282,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102283,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102284,4.316033534024479,4.316033534024479,4.316033534024479,7.2656584,16.936562,0.6627491
5102285,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102286,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102287,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102288,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102289,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102290,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102291,10.231071577332813,10.231071577332813,10.231071577332813,25.099058,37.29727,-20.969744
5102292,13.187567502556332,13.187567502556332,13.187567502556332,34.012676,47.474106,-31.782246
5102293,13.244099442196438,13.244099442196438,13.244099442196438,34.183113,47.668697,-31.988995
5102294,0.0,0.0,0.0,-5.746862,2.0799372,16.447357
5102296,20.85539943076753,20.85539943076753,20.85539943076753,57.13062,73.86827,-59.82506
5102297,19.56855984833766,19.56855984833766,19.56855984833766,53.250885,69.43872,-55.11883
5102298,17.623571512822497,17.623571512822497,17.623571512822497,47.386894,62.743694,-48.00561
