stop,2022-02-25 15:00:00,2022-02-25 15:10:00,2022-02-25 15:20:00,2022-02-25 15:30:00,2022-02-25 15:40:00,2022-02-25 15:50:00,2022-02-25 16:00:00,2022-02-25 16:10:00,2022-02-25 16:20:00,2022-02-25 16:30:00,2022-02-25 16:40:00,2022-02-25 16:50:00,0,1,2,3,4,5,6,7,8,9,10,11
5102995,0.0,0.0,0.0,0.0,3.5547819733408383,0.0,3.5547819733408383,0.0,3.5547819733408383,0.0,3.5547819733408383,0.0,-40.15618,-13.0825405,-12.179487,-1.6805744,10.640726,11.617554,40.563873,5.9053707,-16.684982,14.560447,-18.455215,4.851408
5102996,0.0,0.0,0.0,0.0,3.7261206502686446,0.0,3.7261206502686446,0.0,3.7261206502686446,0.0,3.7261206502686446,0.0,-40.863293,-12.257463,-12.964813,-2.112259,10.351048,11.954345,41.963673,5.7849455,-16.69822,13.405535,-19.93517,5.750847
5102997,4.025140815678431,0.0,0.0,0.0,4.025140815678431,0.0,4.025140815678431,0.0,4.025140815678431,0.0,4.025140815678431,0.0,-29.361355,-10.592004,-25.441032,-28.830568,9.820721,-4.575568,47.80616,6.41105,-20.35209,9.162483,-16.25009,20.28536
5102998,4.464013567091818,0.0,0.0,0.0,4.464013567091818,0.0,4.464013567091818,0.0,4.464013567091818,0.0,4.464013567091818,0.0,-29.783924,-8.454029,-28.663477,-32.76733,9.076027,-5.579278,51.762302,6.19378,-20.78187,5.961376,-19.357485,24.0028
5102999,4.579954231226639,0.0,0.0,0.0,4.579954231226639,0.0,4.579954231226639,0.0,4.579954231226639,0.0,4.579954231226639,0.0,-29.895557,-7.8892183,-29.514782,-33.80734,8.879296,-5.8444433,52.807434,6.1363792,-20.895407,5.115719,-20.178394,24.984863
5103000,4.629568836479273,0.0,0.0,0.0,4.629568836479273,0.0,4.629568836479273,0.0,4.629568836479273,0.0,4.629568836479273,0.0,-29.943329,-7.647521,-29.879078,-34.252388,8.795107,-5.957918,53.25468,6.1118155,-20.943996,4.753826,-20.529686,25.40512
5103001,4.619262753176556,0.0,0.0,0.0,0.0,4.619262753176556,0.0,4.619262753176556,4.619262753176556,0.0,0.0,4.619262753176556,-15.362745,-18.898323,1.1832216,-46.758945,51.445747,-21.912237,44.256092,-12.648586,-30.674236,35.47684,4.9217024,1.2877913
5103002,0.0,6.373053272713249,0.0,6.373053272713249,6.373053272713249,6.373053272713249,0.0,6.373053272713249,6.373053272713249,0.0,6.373053272713249,6.373053272713249,-66.72112,1.0983963,28.573612,-8.937506,80.60888,6.821913,40.493744,-0.64359236,-55.52263,26.149214,-77.88585,-24.799646
5103003,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,36.55489871038721,-11.704285,242.89868,-70.04912,-745.4762,265.39914,-79.04198,389.04926,-60.434296,-23.646187,-110.485886,-385.5342,428.06268
5103004,15.491300843428794,15.491300843428794,15.491300843428794,15.491300843428794,15.491300843428794,15.491300843428794,0.0,15.491300843428794,15.491300843428794,15.491300843428794,0.0,15.491300843428794,-4.4626503,-8.138191,-5.1478395,-235.08981,172.33383,-55.417522,137.64517,-53.30034,-29.67876,42.207336,-166.33127,118.34786
5103005,0.0,15.310709769647524,15.310709769647524,15.310709769647524,15.310709769647524,15.310709769647524,0.0,15.310709769647524,15.310709769647524,15.310709769647524,15.310709769647524,15.310709769647524,-61.954636,14.728683,62.288982,-146.81995,184.5325,5.0508137,80.79597,-20.11843,-44.279087,-3.474556,-226.85759,54.233112
5103006,0.0,0.0,0.0,0.0,0.0,5.302318053151681,0.0,0.0,0.0,0.0,5.302318053151681,0.0,-18.365202,-20.182613,23.837112,0.10093737,35.093636,0.84958076,-6.456625,28.656242,-23.139328,33.962234,-16.235516,-26.008575
5103007,5.3073192117754,0.0,0.0,0.0,0.0,5.3073192117754,0.0,0.0,0.0,0.0,5.3073192117754,0.0,-1.5655556,-19.875797,9.212433,-34.1417,35.078354,-21.724384,-1.9911137,29.777992,-27.933008,31.020885,-7.997896,-8.925415
5103008,5.2698708937834375,0.0,0.0,0.0,0.0,0.0,5.2698708937834375,0.0,0.0,0.0,5.2698708937834375,0.0,-13.976229,1.96031,-17.967068,-52.789307,-0.48205757,-9.416389,27.493681,20.565388,-17.693398,12.870005,23.86002,21.90888
5103009,5.035727626422024,0.0,0.0,0.0,0.0,0.0,5.035727626422024,0.0,0.0,0.0,5.035727626422024,0.0,-14.4876,0.5313854,-16.986,-50.120586,0.27915955,-8.792298,26.784058,20.025042,-17.636393,14.009718,23.344158,20.321901
5103010,4.610218802038897,0.0,0.0,0.0,0.0,0.0,4.610218802038897,0.0,0.0,0.0,4.610218802038897,0.0,-15.41692,-2.0653992,-15.20311,-45.270725,1.6625214,-7.65814,25.49446,19.04307,-17.532795,16.080917,22.406689,17.437887
5103011,4.465138536668337,0.0,0.0,0.0,0.0,0.0,4.465138536668337,0.0,0.0,0.0,4.465138536668337,0.0,-15.733782,-2.9507942,-14.59522,-43.61713,2.1341915,-7.2714386,25.054764,18.70826,-17.497473,16.78711,22.087051,16.454561
5103012,4.404329336217446,0.0,0.0,0.0,0.0,0.0,4.404329336217446,0.0,0.0,0.0,4.404329336217446,0.0,-15.8665905,-3.3218994,-14.340427,-42.92404,2.3318844,-7.109356,24.870464,18.567924,-17.48267,17.083103,21.953075,16.042408
5103013,3.780317168765,0.0,0.0,0.0,0.0,0.0,3.780317168765,0.0,0.0,0.0,3.780317168765,0.0,-17.229446,-7.1301117,-11.725802,-35.811676,4.3605957,-5.4461,22.97926,17.127851,-17.330744,20.120537,20.578264,11.812976
5103014,3.526711430253573,0.0,0.0,0.0,0.0,0.0,3.526711430253573,0.0,0.0,0.0,3.526711430253573,0.0,-17.783325,-8.677811,-10.663188,-32.92113,5.1850843,-4.770135,22.210653,16.542593,-17.269001,21.354982,20.019524,10.094088
5103015,0.0,3.809362559038535,0.0,3.809362559038535,0.0,0.0,0.0,3.809362559038535,0.0,3.809362559038535,0.0,0.0,-30.6674,-30.182068,16.526443,-6.6830378,33.637444,-1.3569474,10.554782,4.738478,-31.670795,41.060722,16.045807,-6.091586
5103016,1.8385022084776972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.66853,-30.097563,-0.95875263,-4.583996,16.63938,-3.1885433,13.074948,8.785748,-18.068748,37.50413,15.112431,-7.8875346
5103017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.485748,-30.200571,4.11381,7.275611,16.650698,4.6300416,11.522181,8.40378,-16.410372,38.521553,12.24954,-13.8092785
5103018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.485748,-30.200571,4.11381,7.275611,16.650698,4.6300416,11.522181,8.40378,-16.410372,38.521553,12.24954,-13.8092785
5103019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.485748,-30.200571,4.11381,7.275611,16.650698,4.6300416,11.522181,8.40378,-16.410372,38.521553,12.24954,-13.8092785
